Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
79872,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N 5XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79873,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N 6XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79874,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 77,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79875,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 82,EACH,VISITEC,0,0,S,O,,,0,0,0,0
798753,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White S,EACH,DNC,0,0,S,O,,,0,0,0,0
798754,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White M,EACH,DNC,0,0,S,O,,,0,0,0,0
798755,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White L,EACH,DNC,0,0,S,O,,,0,0,0,0
798756,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White XL,EACH,DNC,0,0,S,O,,,0,0,0,0
798757,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White 2XL,EACH,DNC,0,0,S,O,,,0,0,0,0
798758,,,,WW,CMPS,***NLA*** J Bobbin Cotton T-Shirt S/Sleeve S1CTWX White 3XL,EACH,DNC,0,0,S,O,,,0,0,0,0
79876,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 87,EACH,VISITEC,0,0,S,O,,,0,0,0,0
798767,,,,WW,CMIS,Johnny Bobbin Polo Traditional Hi Vis Refl 6HVSTEN Yellow/Navy 5XL,EACH,JENBOBBIN,0,0,S,O,,,0,0,0,0
79877,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 92,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79878,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 97,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79879,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 102,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79880,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 107,EACH,VISITEC,0,0,S,O,,,0,0,0,0
798809,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 8,EACH,DNC,0,0,S,O,,,0,0,0,0
79881,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 112,EACH,VISITEC,0,0,S,O,,,0,0,0,0
798810,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 10,EACH,DNC,0,0,S,O,,,0,0,0,0
798811,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 12,EACH,DNC,0,0,S,O,,,0,0,0,0
