Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
E1200Z__ZDB4102R,,,,WW,CMLD,Shorts Drill DB Schenker Navy 102 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZDB4107R,,,,WW,CMLD,Shorts Drill DB Schenker Navy 107 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZDB4112R,,,,WW,CMLD,Shorts Drill DB Schenker Navy 112 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3077R,,,,WW,CMLD,Shorts Drill Greyhound Navy 77 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3082R,,,,WW,CMLD,Shorts Drill Greyhound Navy 82 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3087R,,,,WW,CMLD,Shorts Drill Greyhound Navy 87 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3092R,,,,WW,CMLD,Shorts Drill Greyhound Navy 92 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3097R,,,,WW,CMLD,Shorts Drill Greyhound Navy 97 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3102R,,,,WW,CMLD,Shorts Drill Greyhound Navy 102 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3107R,,,,WW,CMLD,Shorts Drill Greyhound Navy 107 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH3112R,,,,WW,CMLD,Shorts Drill Greyhound Navy 112 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4077R,,,,WW,CMLD,Shorts Drill Greyhound Black 77 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4082R,,,,WW,CMLD,Shorts Drill Greyhound Black 82 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4087R,,,,WW,CMLD,Shorts Drill Greyhound Black 87 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4092R,,,,WW,CMLD,Shorts Drill Greyhound Black 92 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4097R,,,,WW,CMLD,Shorts Drill Greyhound Black 97 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4102R,,,,WW,CMLD,Shorts Drill Greyhound Black 102 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4107R,,,,WW,CMLD,Shorts Drill Greyhound Black 107 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4112R,,,,WW,CMLD,Shorts Drill Greyhound Black 112 Regular Leg,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH4117R,,,,WW,CMLD,Shorts Drill Greyhound Black 117 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH4122R,,,,WW,CMLD,Shorts Drill Greyhound Black 122 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH4127R,,,,WW,CMLD,Shorts Drill Greyhound Black 127 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH4132R,,,,WW,CMLD,Shorts Drill Greyhound Black 132 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH8077R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 77 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8082R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 82 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8087R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 87 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8092R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 92 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8097R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 97 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8102R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 102 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8107R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 107 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH8112R,,,,WW,CMLD,Shorts Drill Greyhound Resources Navy 112 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZGH9077R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 77 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9082R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 82 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9087R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 87 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9092R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 92 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9097R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 97 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9102R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 102 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9107R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 107 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9112R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 112 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9117R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 117 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9122R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 122 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9127R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 127 Regular,EACH,ELEVEN,0,0,S,C,U,
E1200Z__ZGH9132R,,,,WW,CMLD,Shorts Drill Greyhound Resources Black 132 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1077R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 77 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1082R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 82 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1087R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 87 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1092R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 92 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1097R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 97 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1102R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 102 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1107R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 107 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1112R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 112 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1117R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 117 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1122R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 122 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1127R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 127 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200Z__ZWY1132R,,,,WW,CMLD,Shorts Drill Worly Parsons Orange Navy 132 Regular,EACH,ELEVEN,0,0,S,A,U,
E1200___,,,,WW,CMLD,Shorts Drill,EACH,ELEVEN,0,0,Z,A,U,E1200
E1200___BLCK077R,,,,WW,CMLD,Shorts Drill Black 77 Regular Leg,EACH,ELEVEN,67,67,S,C,U,9336179065955
E1200___BLCK082R,,,,WW,CMLD,Shorts Drill Black 82 Regular Leg,EACH,ELEVEN,143,143,S,C,U,9336179065962
E1200___BLCK087R,,,,WW,CMLD,Shorts Drill Black 87 Regular Leg,EACH,ELEVEN,97,97,S,C,U,9336179065979
E1200___BLCK092R,,,,WW,CMLD,Shorts Drill Black 92 Regular Leg,EACH,ELEVEN,12,12,S,C,U,9336179065986
E1200___BLCK097R,,,,WW,CMLD,Shorts Drill Black 97 Regular Leg,EACH,ELEVEN,5,5,S,C,U,9336179065993
E1200___BLCK102R,,,,WW,CMLD,Shorts Drill Black 102 Regular Leg,EACH,ELEVEN,40,40,S,C,U,9336179066006
E1200___BLCK107R,,,,WW,CMLD,Shorts Drill Black 107 Regular Leg,EACH,ELEVEN,12,12,S,C,U,9336179066013
E1200___BLCK112R,,,,WW,CMLD,Shorts Drill Black 112 Regular Leg,EACH,ELEVEN,3,3,S,C,U,9336179066020
E1200___KHKI077R,,,,WW,CMLD,Shorts Drill Khaki 77 Regular Leg,EACH,ELEVEN,282,279,S,A,U,9336179051019
E1200___KHKI082R,,,,WW,CMLD,Shorts Drill Khaki 82 Regular Leg,EACH,ELEVEN,611,607,S,A,U,9336179051026
E1200___KHKI087R,,,,WW,CMLD,Shorts Drill Khaki 87 Regular Leg,EACH,ELEVEN,868,860,S,A,U,9336179051033
E1200___KHKI092R,,,,WW,CMLD,Shorts Drill Khaki 92 Regular Leg,EACH,ELEVEN,342,342,S,A,U,9336179051040
E1200___KHKI097R,,,,WW,CMLD,Shorts Drill Khaki 97 Regular Leg,EACH,ELEVEN,297,297,S,A,U,9336179051057
E1200___KHKI102R,,,,WW,CMLD,Shorts Drill Khaki 102 Regular Leg,EACH,ELEVEN,312,312,S,A,U,9336179051064
E1200___KHKI107R,,,,WW,CMLD,Shorts Drill Khaki 107 Regular Leg,EACH,ELEVEN,214,214,S,A,U,9336179051071
E1200___KHKI112R,,,,WW,CMLD,Shorts Drill Khaki 112 Regular Leg,EACH,ELEVEN,225,225,S,A,U,9336179051088
E1200___NAVY077R,,,,WW,CMLD,Shorts Drill Navy 77 Regular Leg,EACH,ELEVEN,263,256,S,A,U,9336179051095
E1200___NAVY082R,,,,WW,CMLD,Shorts Drill Navy 82 Regular Leg,EACH,ELEVEN,438,420,S,A,U,9336179051101
E1200___NAVY087R,,,,WW,CMLD,Shorts Drill Navy 87 Regular Leg,EACH,ELEVEN,795,780,S,A,U,9336179051118
E1200___NAVY092R,,,,WW,CMLD,Shorts Drill Navy 92 Regular Leg,EACH,ELEVEN,1105,1086,S,A,U,9336179051125
E1200___NAVY097R,,,,WW,CMLD,Shorts Drill Navy 97 Regular Leg,EACH,ELEVEN,558,534,S,A,U,9336179051132
E1200___NAVY102R,,,,WW,CMLD,Shorts Drill Navy 102 Regular Leg,EACH,ELEVEN,295,270,S,A,U,9336179051149
E1200___NAVY107R,,,,WW,CMLD,Shorts Drill Navy 107 Regular Leg,EACH,ELEVEN,325,316,S,A,U,9336179051156
E1200___NAVY112R,,,,WW,CMLD,Shorts Drill Navy 112 Regular Leg,EACH,ELEVEN,263,253,S,A,U,9336179051163
E1200___NAVY117R,,,,WW,CMLD,Shorts Drill Navy 117 Regular,EACH,ELEVEN,37,34,S,A,U,9336179080439
E1200___NAVY122R,,,,WW,CMLD,Shorts Drill Navy 122 Regular,EACH,ELEVEN,50,47,S,A,U,9336179080446
E1200___NAVY127R,,,,WW,CMLD,Shorts Drill Navy 127 Regular,EACH,ELEVEN,31,30,S,A,U,9336179080453
E1200___NAVY132R,,,,WW,CMLD,Shorts Drill Navy 132 Regular,EACH,ELEVEN,36,31,S,A,U,9336179080460
E1201Z__,,,,WW,CMLD,Shorts Drill Cargo,EACH,ELEVEN,0,0,Z,A,U,
E1201Z__ZBW2077R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 77 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2082R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 82 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2087R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 87 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2092R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 92 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2097R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 97 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2102R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 102 Regular,EACH,ELEVEN,0,0,S,C,U,
E1201Z__ZBW2107R,,,,WW,CMLD,Shorts Drill Cargo Brickworks Navy 107 Regular,EACH,ELEVEN,0,0,S,C,U,
