Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
256027,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy L BK6354,EACH,BISLEY,0,0,S,O,,9328894787014
256028,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy XL BK6354,EACH,BISLEY,0,0,S,O,,9328894787021
256029,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy 2XL BK6354,EACH,BISLEY,0,0,S,O,,9328894787038
256030,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy 3XL BK6354,EACH,BISLEY,0,0,S,O,,9328894787045
256031,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy 4XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894787113
256032,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy 5XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894787120
256033,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Orange Navy 6XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894787137
256034,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green S BK6354,EACH,BISLEY,0,0,S,O,,9328894813317
256035,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green M BK6354,EACH,BISLEY,0,0,S,O,,9328894813324
256036,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green L BK6354,EACH,BISLEY,0,0,S,O,,9328894813331
256037,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green XL BK6354,EACH,BISLEY,0,0,S,O,,9328894813348
256038,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green 2XL BK6354,EACH,BISLEY,0,0,S,O,,9328894813355
256039,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green 3XL BK6354,EACH,BISLEY,0,0,S,O,,9328894813362
256040,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green 4XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894813379
256041,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green 5XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894813386
