4031101603391,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
W2191___BLCK07US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 7 US,EACH,WOLVERINE,300,296,S,A,U,195018369673
W2191___BLCK085U,,,,WW,FMSS,Shiftplus Zip CM Mid Black 8.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369703
W2191___BLCK08US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 8 US,EACH,WOLVERINE,394,387,S,A,U,195018369697
W2191___BLCK095U,,,,WW,FMSS,Shiftplus Zip CM Mid Black 9.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369727
W2191___BLCK09US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 9 US,EACH,WOLVERINE,483,475,S,A,U,195018369710
W2191___BLCK105U,,,,WW,FMSS,Shiftplus Zip CM Mid Black 10.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369741
W2191___BLCK10US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 10 US,EACH,WOLVERINE,780,776,S,A,U,195018369734
W2191___BLCK115U,,,,WW,FMSS,Shiftplus Zip CM Mid Black 11.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369765
W2191___BLCK11US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 11 US,EACH,WOLVERINE,514,501,S,A,U,195018369758
W2191___BLCK12US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 12 US,EACH,WOLVERINE,298,298,S,A,U,195018369772
W2191___BLCK13US,,,,WW,FMSS,Shiftplus Zip CM Mid Black 13 US,EACH,WOLVERINE,294,290,S,A,U,195018369789
W2191___CHGY075U,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 7.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369932
W2191___CHGY07US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 7 US,EACH,WOLVERINE,297,295,S,A,U,195018369925
W2191___CHGY085U,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 8.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369956
W2191___CHGY08US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 8 US,EACH,WOLVERINE,184,181,S,A,U,195018369949
W2191___CHGY095U,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 9.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369970
W2191___CHGY09US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 9 US,EACH,WOLVERINE,426,416,S,A,U,195018369963
W2191___CHGY105U,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 10.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369994
W2191___CHGY10US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 10 US,EACH,WOLVERINE,343,333,S,A,U,195018369987
W2191___CHGY115U,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 11.5 US,EACH,WOLVERINE,0,0,S,I,U,195018370013
W2191___CHGY11US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 11 US,EACH,WOLVERINE,499,492,S,A,U,195018370006
W2191___CHGY12US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 12 US,EACH,WOLVERINE,226,226,S,A,U,195018370020
W2191___CHGY13US,,,,WW,FMSS,Shiftplus Zip CM Mid Charcoal Grey 13 US,EACH,WOLVERINE,313,310,S,A,U,195018370037
W2191___LTGY075U,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 7.5 US,EACH,WOLVERINE,0,0,S,I,U,195019095106
W2191___LTGY07US,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 7 US,EACH,WOLVERINE,132,132,S,C,U,195019095090
W2191___LTGY085U,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 8.5 US,EACH,WOLVERINE,0,0,S,I,U,195019095120
W2191___LTGY08US,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 8 US,EACH,WOLVERINE,96,96,S,C,U,195019095113
W2191___LTGY095U,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 9.5 US,EACH,WOLVERINE,0,0,S,I,U,195019095144
W2191___LTGY09US,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 9 US,EACH,WOLVERINE,168,167,S,C,U,195019095137
W2191___LTGY105U,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 10.5 US,EACH,WOLVERINE,0,0,S,I,U,195019095168
W2191___LTGY10US,,,,WW,FMSS,Shiftplus Zip CM Mid Light Grey 10 US,EACH,WOLVERINE,154,154,S,C,U,195019095151
