Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
HF3911__TAN_OSFA,,,,WW,CMAO,Backpack Tan One Size Fits All,EACH,HMRFLD,596,596,S,A,U,9336179181303
HF3913__,,,,WW,CMHZ,Quick Dry Wide Brim Hat,EACH,HMRFLD,0,0,Z,N,U,HF3913
HF3913__BLCK000L,,,,WW,CMHZ,Quick Dry Wide Brim Hat Black Large,EACH,HMRFLD,0,0,S,I,U,9336179209151
HF3913__BLCK000M,,,,WW,CMHZ,Quick Dry Wide Brim Hat Black Medium,EACH,HMRFLD,0,0,S,I,U,9336179209175
HF3913__BLCK000S,,,,WW,CMHZ,Quick Dry Wide Brim Hat Black Small,EACH,HMRFLD,0,0,S,I,U,9336179209199
HF3915__,,,,WW,CMAL,Outdoor Duffle Bag,EACH,HMRFLD,0,0,Z,A,U,HF3915
HF3915__BLCKOSFA,,,,WW,CMAL,Outdoor Duffle Bag Black One Size Fits All,EACH,HMRFLD,791,774,S,A,U,9336179219242
HF3917__,,,,WW,CMHZ,Marled Rib Pannelled Beanie,EACH,HMRFLD,0,0,Z,N,U,HF3917
HF3917__BLCKOSFA,,,,WW,CMHZ,Marled Rib Pannelled Beanie Black One Size Fits All,EACH,HMRFLD,0,0,S,N,U,9336179243544
HF3917__NAVYOSFA,,,,WW,CMHZ,Marled Rib Pannelled Beanie Navy One Size Fits All,EACH,HMRFLD,0,0,S,N,U,9336179243568
HF3920__,,,,WW,CMAS,Sock Crew Stripe x2 Pack,EACH,HMRFLD,0,0,Z,A,U,
HF3920__BLCK0610,,,,WW,CMAS,Sock Crew Stripe x2 Pack Black Sizes 6 to 10,EACH,HMRFLD,1878,1870,S,A,U,9336179180856
HF3920__BLCK1114,,,,WW,CMAS,Sock Crew Stripe x2 Pack Black Sizes 11 to 14,EACH,HMRFLD,991,989,S,A,U,9336179180863
HF3920__LGMA0610,,,,WW,CMAS,Sock Crew Stripe x2 Pack Light Grey Marle Sizes 6 to 10,EACH,HMRFLD,1194,1194,S,A,U,9336179180870
HF3920__LGMA1114,,,,WW,CMAS,Sock Crew Stripe x2 Pack Light Grey Marle Sizes 11 to 14,EACH,HMRFLD,1104,1092,S,A,U,9336179180887
HF3920__WHTE0610,,,,WW,CMAS,Sock Crew Stripe x2 Pack White Sizes 6 to 10,EACH,HMRFLD,1494,1492,S,A,U,9336179180894
HF3920__WHTE1114,,,,WW,CMAS,Sock Crew Stripe x2 Pack White Sizes 11 to 14,EACH,HMRFLD,1312,1310,S,C,U,9336179180900
HF3921__,,,,WW,CMAS,Sock Crew Branded x3 Pack,EACH,HMRFLD,0,0,Z,A,U,
HF3921__MULT0610,,,,WW,CMAS,Sock Crew Branded x3 Pack StnGrnMrl/CldMrl/Stn Mrl/BlMrl Sizes 6 to 10,EACH,HMRFLD,1565,1553,S,A,U,9336179180979
HF3921__MULT1114,,,,WW,CMAS,Sock Crew Branded x3 Pack StnGrnMrl/CldMrl/Stn Mrl/BlMrl Sizes 11 to 14,EACH,HMRFLD,790,790,S,A,U,9336179180986
